"year","home_team_id","away_team_id","avg_overall_rating_home_player_1.1","avg_overall_rating_away_player_1.1","mean_potential_home","mean_potential_away","mean_overall_rating_home","mean_overall_rating_away","mean_defensive_work_rate_home","mean_defensive_work_rate_away","mean_attacking_work_rate_home","mean_attacking_work_rate_away","avg_crossing_home","avg_crossing_away","avg_combined_work_rate_home","avg_combined_work_rate_away","point_diff","win_loss"
2015,41,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,145,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,9,263,80,81.75,81.1818181818182,80.5750416250416,77.7743055555556,74.8986187423687,2,2.09090909090909,2.39772727272727,2.11363636363636,81.1818181818182,80.5750416250416,2.21704545454545,2.12045454545455,3,1
2014,110,40,68.3076923076923,83,75.2943904580268,81.9334415584416,71.2281211843712,79.1552579365079,2.18181818181818,2.20454545454545,2.36363636363636,2.53787878787879,75.2943904580268,81.9334415584416,2.23636363636364,2.35909090909091,2,1
2014,128,269,72.25,71.1428571428571,74.3274891774892,75.9493506493506,72.4053571428571,72.3895021645022,2.08636363636364,2.04545454545455,2.23376623376623,2.24025974025974,74.3274891774892,75.9493506493506,2.16097402597403,2.10649350649351,2,1
2014,19,22,78.6,78,78.9497835497836,78.4444444444444,74.178373015873,74.8587962962963,2.27272727272727,1.98863636363636,2.36363636363636,2.3030303030303,78.9497835497836,78.4444444444444,2.31818181818182,2.16704545454545,2,0
2014,145,109,69,78.4,69.608658008658,76.8848484848485,66.8333333333333,73.9180555555556,2,2.09090909090909,2.2,2.09090909090909,69.608658008658,76.8848484848485,1.92727272727273,2.10909090909091,2,1
2014,54,145,87.5,69,86.8580808080808,70.0101731601732,84.8560185185185,66.9861111111111,2.24675324675325,1.9,2.54545454545455,2.3,86.8580808080808,70.0101731601732,2.40909090909091,1.96363636363636,4,1
2014,263,128,81.75,72.25,79.7778554778555,74.3274891774892,76.784829059829,72.4053571428571,2.18181818181818,2.08636363636364,2.36363636363636,2.23376623376623,79.7778554778555,74.3274891774892,2.30909090909091,2.14051948051948,1,1
2014,39,41,78.3076923076923,76.25,80.519647019647,77.8295454545455,76.2081603581604,75.1006944444444,2.13636363636364,2.36363636363636,2.31818181818182,2.18939393939394,80.519647019647,77.8295454545455,2.24545454545455,2.31136363636364,1,1
2014,109,10,78.4,73.3333333333333,76.4484848484849,74.7833333333333,73.4694444444444,71.4611111111111,1.92424242424242,2,1.93939393939394,2.09090909090909,76.4484848484849,74.7833333333333,1.9530303030303,2.06363636363636,1,1
2014,262,9,75.5,80,75.8915584415584,80.9333333333333,74.1125,77.99375,1.83116883116883,2.09090909090909,2.3008658008658,2.48863636363636,75.8915584415584,80.9333333333333,2.06601731601732,2.31704545454545,1,1
2014,269,232,71.1428571428571,76,76.3834415584416,79.8129615482557,71.1829545454545,75.2204170557112,2.13636363636364,2.15289256198347,2.24025974025974,2.45785123966942,76.3834415584416,79.8129615482557,2.23376623376623,2.35082644628099,3,0
2014,232,40,76,83,80.8281130634072,82.5376984126984,77.0306022408964,79.8708664021164,2.24380165289256,2.19805194805195,2.45785123966942,2.62878787878788,80.8281130634072,82.5376984126984,2.41446280991736,2.36515151515152,1,1
2014,9,269,80,71.1428571428571,81.4077922077922,76.4469336219336,78.4933531746032,72.2977693602694,2.27272727272727,2,2.39772727272727,2.33116883116883,81.4077922077922,76.4469336219336,2.31704545454545,2.22012987012987,1,1
2014,128,262,72.25,75.5,74.3880952380952,75.8915584415584,72.4609126984127,74.1125,2.01818181818182,1.83116883116883,2.23376623376623,2.3008658008658,74.3880952380952,75.8915584415584,2.14051948051948,2.09329004329004,1,1
2014,19,109,68,78.4,77.9073593073593,76.7969696969697,71.7450396825397,73.5388888888889,2.27272727272727,2,2.27272727272727,2,77.9073593073593,76.7969696969697,2.27272727272727,2.025,1,1
2014,41,51,76.25,72,77.8295454545455,76.7796536796537,75.0173611111111,73.4888888888889,2.36363636363636,2.08369408369408,2.09848484848485,2.09090909090909,77.8295454545455,76.7796536796537,2.28712121212121,2.08470418470418,1,0
2014,10,54,73.3333333333333,87.5,75.0454545454545,86.4074314574315,70.9180555555556,83.9435185185185,2,2.16493506493507,2.27272727272727,2.63636363636364,75.0454545454545,86.4074314574315,2.19090909090909,2.3351948051948,2,0
2014,145,39,69,78.3076923076923,70.1757575757576,79.9215950715951,67.0277777777778,76.2476444851445,2,2.09090909090909,2.2,2.36363636363636,70.1757575757576,79.9215950715951,1.89090909090909,2.22727272727273,1,0
2014,54,109,87.5,78.4,85.452886002886,76.4333333333333,83.325462962963,73.2833333333333,2.16493506493506,2,2.70454545454545,2,85.452886002886,76.4333333333333,2.49383116883117,2.01818181818182,4,1
2014,40,41,83,76.25,81.9195526695527,78.0503246753247,79.885582010582,75.5768849206349,2.11363636363636,2.36363636363636,2.53787878787879,2.28030303030303,81.9195526695527,78.0503246753247,2.31969696969697,2.35681818181818,1,0
2014,9,128,80,72.25,81.0350649350649,74.545670995671,77.8350198412698,72.3220238095238,2.15151515151515,1.92727272727273,2.30681818181818,2.32467532467532,81.0350649350649,74.545670995671,2.21704545454545,2.14051948051948,1,1
2014,22,232,78,76,79.0808080808081,80.2291231644173,75.3826058201058,76.4056022408964,2.07954545454545,2.2801652892562,2.32467532467532,2.51239669421488,79.0808080808081,80.2291231644173,2.23295454545455,2.45264462809917,1,1
2014,262,19,75.5,68,77.4733766233766,77.4997835497835,74.8902777777778,72.3867063492063,1.92207792207792,2.18181818181818,2.3008658008658,2.34545454545455,77.4733766233766,77.4997835497835,2.10238095238095,2.32363636363636,1,1
2014,51,10,72,73.3333333333333,76.9463203463203,75.6242424242424,73.5722222222222,71.1486111111111,2.08369408369408,2,2.09090909090909,2.18181818181818,76.9463203463203,75.6242424242424,2.07575757575758,2.07272727272727,1,1
2014,54,269,87.5,71.1428571428571,85.8422077922078,75.6324675324675,83.1380952380952,72.9371212121212,2.15584415584416,2.04545454545455,2.45454545454545,2.24025974025974,85.8422077922078,75.6324675324675,2.32337662337662,2.18376623376623,6,1
2014,232,262,76,75.5,80.1051693404635,77.4733766233766,76.2358932461874,74.8902777777778,2.13471074380165,1.92207792207792,2.42148760330579,2.3008658008658,80.1051693404635,77.4733766233766,2.29628099173554,2.14177489177489,2,1
